candidateid,raceid,precinctsreporting,national,officeid,ballotorder,id,votepct,fipscode,reportingunitname,seatnum,winner,lastupdated,polid,initialization_data,racetype,incumbent,test,party,officename,electiondate,racetypeid,uncontested,description,precinctsreportingpct,polnum,key,reportingunitid,is_ballot_measure,precinctstotal,last,statepostal,level,statename,votecount,seatname,runoff,unique_id,first
22336,16957,0,True,P,11,16957-polid-1752-16034,0.0,19067,Floyd,0,False,,1752,False,,False,True,GOP,President,20160201,S,False,,0.0,18541,16957Floyd1603422336,16034,,8,Santorum,IA,county,,0,,False,polid-1752,Rick
22337,16957,0,True,P,12,16957-polid-8639-16034,0.0,19067,Floyd,0,False,,8639,False,,False,True,GOP,President,20160201,S,False,,0.0,18873,16957Floyd1603422337,16034,,8,Trump,IA,county,,0,,False,polid-8639,Donald
22331,16957,0,True,P,8,16957-polid-36679-16034,0.0,19067,Floyd,0,False,,36679,False,,False,True,GOP,President,20160201,S,False,,0.0,18869,16957Floyd1603422331,16034,,8,Kasich,IA,county,,0,,False,polid-36679,John
22333,16957,0,True,P,9,16957-polid-60208-16034,0.0,19067,Floyd,0,False,,60208,False,,False,True,GOP,President,20160201,S,False,,0.0,18871,16957Floyd1603422333,16034,,8,Paul,IA,county,,0,,False,polid-60208,Rand
22335,16957,0,True,P,10,16957-polid-53044-16036,0.0,19071,Fremont,0,False,,53044,False,,False,True,GOP,President,20160201,S,False,,0.0,18872,16957Fremont1603622335,16036,,5,Rubio,IA,county,,0,,False,polid-53044,Marco
22337,16957,0,True,P,12,16957-polid-8639-16036,0.0,19071,Fremont,0,False,,8639,False,,False,True,GOP,President,20160201,S,False,,0.0,18873,16957Fremont1603622337,16036,,5,Trump,IA,county,,0,,False,polid-8639,Donald
22336,16957,0,True,P,11,16957-polid-1752-16036,0.0,19071,Fremont,0,False,,1752,False,,False,True,GOP,President,20160201,S,False,,0.0,18541,16957Fremont1603622336,16036,,5,Santorum,IA,county,,0,,False,polid-1752,Rick
22331,16957,0,True,P,8,16957-polid-36679-16036,0.0,19071,Fremont,0,False,,36679,False,,False,True,GOP,President,20160201,S,False,,0.0,18869,16957Fremont1603622331,16036,,5,Kasich,IA,county,,0,,False,polid-36679,John
22312,16672,0,True,P,2,16672-polid-22603-16010,0.0,19019,Buchanan,0,False,,22603,False,,False,True,Dem,President,20160201,E,False,,0.0,18857,16672Buchanan1601022312,16010,,15,O'Malley,IA,county,,0,,False,polid-22603,Martin
22311,16672,0,True,P,3,16672-polid-1445-16010,0.0,19019,Buchanan,0,False,,1445,False,,False,True,Dem,President,20160201,E,False,,0.0,18856,16672Buchanan1601022311,16010,,15,Sanders,IA,county,,0,,False,polid-1445,Bernie
22310,16672,0,True,P,1,16672-polid-1746-16010,0.0,19019,Buchanan,0,False,,1746,False,,False,True,Dem,President,20160201,E,False,,0.0,18855,16672Buchanan1601022310,16010,,15,Clinton,IA,county,,0,,False,polid-1746,Hillary
22324,16957,0,True,P,4,16957-polid-61815-16072,0.0,19143,Osceola,0,False,,61815,False,,False,True,GOP,President,20160201,S,False,,0.0,18862,16957Osceola1607222324,16072,,8,Cruz,IA,county,,0,,False,polid-61815,Ted
